x,y,t,type,id
594,262,1436206094591,m,761
599,259,1436206094601,m,761
602,257,1436206094612,m,761
603,255,1436206094622,m,761
606,253,1436206094631,m,761
609,250,1436206094643,m,761
610,248,1436206094652,m,761
614,245,1436206094663,m,761
614,243,1436206094673,m,761
616,242,1436206094683,m,761
616,242,1436206094815,m,761
616,243,1436206094825,m,761
616,244,1436206094835,m,761
615,245,1436206094845,m,761
612,247,1436206094855,m,761
609,250,1436206094865,m,761
608,252,1436206094875,m,761
604,254,1436206094885,m,761
604,257,1436206094896,m,761
599,259,1436206094906,m,761
596,260,1436206094916,m,761
593,261,1436206094926,m,761
593,261,1436206094936,m,761
592,262,1436206094947,m,761
591,262,1436206094956,m,761
590,262,1436206094967,m,761
587,262,1436206094977,m,761
587,262,1436206094987,m,761
587,262,1436206095007,m,761
586,262,1436206095018,m,761
585,262,1436206095028,m,761
585,262,1436206095048,m,761
585,261,1436206095057,m,761
585,261,1436206095068,m,761
585,259,1436206095077,m,761
585,259,1436206095087,m,761
585,259,1436206095094,m,761
585,259,1436206095108,m,761
585,259,1436206095118,m,761
585,257,1436206095128,m,761
584,256,1436206095159,m,761
583,255,1436206095169,m,761
583,255,1436206095180,m,761
583,257,1436206095251,m,761
583,257,1436206095271,m,761
583,258,1436206095281,m,761
584,258,1436206095290,m,761
585,258,1436206095301,m,761
587,261,1436206095310,m,761
591,264,1436206095321,m,761
592,266,1436206095331,m,761
598,268,1436206095341,m,761
602,269,1436206095351,m,761
606,270,1436206095361,m,761
617,272,1436206095387,m,761
620,273,1436206095391,m,761
620,273,1436206095398,m,761
627,272,1436206095412,m,761
629,272,1436206095423,m,761
629,272,1436206095432,m,761
631,272,1436206095442,m,761
632,272,1436206095453,m,761
632,271,1436206095463,m,761
632,271,1436206095473,m,761
633,271,1436206095483,m,761
633,271,1436206095575,m,761
633,271,1436206095584,m,761
634,272,1436206095594,m,761
634,272,1436206095605,m,761
634,272,1436206095615,m,761
634,272,1436206095625,m,761
635,274,1436206095668,m,761
635,274,1436206095676,m,761
635,275,1436206095696,m,761
635,275,1436206095707,m,761
635,275,1436206095716,m,761
635,276,1436206095747,m,761
635,276,1436206096045,m,761
634,276,1436206096091,m,761
634,276,1436206096102,m,761
634,276,1436206096112,m,761
633,276,1436206096122,m,761
633,276,1436206096142,m,761
633,276,1436206096163,m,761
633,276,1436206096195,m,761
633,276,1436206096234,m,761
632,276,1436206096254,m,761
